source_path,category,proposed_sad,action
docs/architecture/components/_template/architecture.template.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/architecture/components/_template/AUTHORING-GUIDE.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/architecture/evidence/README.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/architecture/project/FRONTMATTER.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/architecture/QUALITY-STANDARD.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/architecture/README.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/architecture/START-HERE.md,legacy-stub-or-contract,TBD,absorb-or-stub
docs/technical/architecture/ai_story_contract.md,technical-architecture,components/ai-stack,absorb-or-stub
docs/technical/architecture/architecture-overview.md,technical-architecture,TBD,absorb-or-stub
docs/technical/architecture/backend-runtime-classification.md,technical-architecture,components/backend,absorb-or-stub
docs/technical/architecture/canonical-player-flow-contract.md,technical-architecture,TBD,absorb-or-stub
docs/technical/architecture/canonical_runtime_contract.md,technical-architecture,TBD,absorb-or-stub
docs/technical/architecture/god_of_carnage_module_contract.md,technical-architecture,components/content-authority,absorb-or-stub
docs/technical/architecture/MultilingualArchitecture.md,technical-architecture,TBD,absorb-or-stub
docs/technical/architecture/mvp_definition.md,technical-architecture,project/mvp-live-runtime-completion,absorb-or-stub
docs/technical/architecture/service-boundaries.md,technical-architecture,project/ecosystem-topology,absorb-or-stub
docs/technical/architecture/session_runtime_contract.md,technical-architecture,components/world-engine,absorb-or-stub
docs/technical/runtime/a1_free_input_primary_runtime_path.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/active_listening_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/callback_web_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/consequence_cascade_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/director_realization_thin_path_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/expectation_variation_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/genre_awareness_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/improvisational_coherence_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/meta_narrative_awareness_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/narrative_momentum_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/no_dead_end_recovery_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/pacing_rhythm_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/player_input_interpretation_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/relationship_state_machine_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/runtime-authority-and-state-flow.md,runtime-contract,components/world-engine,absorb-or-stub
docs/technical/runtime/runtime_diagnostic_snapshot_v1_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/sensory_context_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/social_pressure_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/story_runtime_complete_playable_mvp.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/subtext_interpretation_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/symbolic_object_resonance_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/temporal_control_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/tonal_consistency_contract.md,runtime-contract,TBD,absorb-or-stub
docs/technical/runtime/world_engine_authoritative_narrative_commit.md,runtime-contract,components/world-engine,absorb-or-stub
docs/technical/runtime/world_engine_authoritative_runtime_and_system_interactions.md,runtime-contract,components/world-engine,absorb-or-stub
docs/contracts/mcp_authorization_contract.md,root-contract,components/mcp-server,absorb-or-stub
docs/contracts/mcp_surface_contract.md,root-contract,components/mcp-server,absorb-or-stub
docs/contracts/session_authority_contract.md,root-contract,TBD,absorb-or-stub
docs/contracts/session_sync_contract.md,root-contract,TBD,absorb-or-stub
docs/contracts/turn_execution_contract.md,root-contract,components/world-engine,absorb-or-stub
docs/ADR/adr-0001-runtime-authority-in-world-engine.md,adr,components/world-engine,absorb-or-stub
docs/ADR/adr-0002-backend-session-surface-quarantine.md,adr,components/backend,absorb-or-stub
docs/ADR/adr-0003-scene-identity-canonical-surface.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0004-runtime-model-output-proposal-only-until-validator-approval.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0005-research-may-draft-change-but-may-not-publish.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0006-revision-review-uses-state-machine.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0007-revision-conflicts-explicit-governance-objects.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0008-validation-strategy-explicit-configurable.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0009-evaluation-is-a-promotion-gate.md,adr,project/quality-gates,absorb-or-stub
docs/ADR/adr-0010-governance-workflows-event-driven.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0011-validation-failures-degrade-gracefully.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0012-corrective-retry-provide-actionable-feedback.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0013-preview-sessions-isolated-from-active-runtime.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0014-player-affect-enum-signals.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0015-persist-turnexecutionresult-and-aidecisionlog.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0016-frontend-backend-restructure.md,adr,components/backend,absorb-or-stub
docs/ADR/adr-0017-durable-truth-migration-policy.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0018-role-aware-aidecisionlog.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0019-proposal-source-and-responder-gating.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0020-debug-panel-ui.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0021-runtime-authority.md,adr,components/world-engine,absorb-or-stub
docs/ADR/adr-0022-mvp-expansion-decision-rule.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0023-decision-framework-for-risk-and-kill-criteria.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0024-decision-boundary-record-schema.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0025-canonical-authored-content-model.md,adr,components/content-authority,absorb-or-stub
docs/ADR/adr-0026-mcp-host-and-runtime-phase-a.md,adr,components/mcp-server,absorb-or-stub
docs/ADR/adr-0027-mcp-transport-connectivity-phase-a.md,adr,components/mcp-server,absorb-or-stub
docs/ADR/adr-0028-mcp-security-baseline-phase-a.md,adr,components/mcp-server,absorb-or-stub
docs/ADR/adr-0029-residue-removal-policy.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0030-docker-up-complete-bootstrap.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0031-env-configuration-governance.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0032-mvp4-live-runtime-setup-requirements.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0033-live-runtime-commit-semantics.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0034-player-facing-narrative-shell-contract.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0035-story-opening-economy-and-warmup.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0036-player-session-output-language.md,adr,project/governance (exception link),absorb-or-stub
